Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET readiness,16890,54,21,486,39.84,0.024%,5.92,3.42,0.98,592.0
TOTAL,16890,54,21,486,39.84,0.024%,5.92,3.42,0.98,592.0
