Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET readiness,17523,20,1,117,14.92,0.000%,6.55137,3.67,0.84,574.0
TOTAL,17523,20,1,117,14.92,0.000%,6.55137,3.67,0.84,574.0
